iter	Passed	Remaining
1475	91498	63478
1476	91549	63409
1477	91591	63333
1478	91650	63269
1479	91721	63213
1480	91784	63152
1481	91841	63086
1482	91890	63016
1483	91959	62958
1484	92016	62893
1485	92079	62832
1486	92140	62769
1487	92203	62708
1488	92268	62648
1489	92334	62589
1490	92408	62535
1491	92477	62477
1492	92533	62411
1493	92584	62342
1494	92634	62272
1495	92703	62215
1496	92770	62156
1497	92830	62093
1498	92890	62029
1499	92954	61969
1500	93023	61912
1501	93085	61850
1502	93133	61779
1503	93197	61718
1504	93270	61663
1505	93323	61595
1506	93378	61529
1507	93440	61467
1508	93503	61406
1509	93562	61342
1510	93621	61278
1511	93688	61219
1512	93744	61154
1513	93816	61098
1514	93892	61045
1515	93961	60988
1516	94032	60932
1517	94092	60868
1518	94145	60800
1519	94204	60736
1520	94271	60678
1521	94337	60619
1522	94390	60551
1523	94456	60491
1524	94510	60424
1525	94566	60358
1526	94619	60291
1527	94687	60233
1528	94747	60169
1529	94818	60113
1530	94878	60050
1531	94919	59975
1532	94974	59909
1533	95034	59845
1534	95093	59781
1535	95156	59720
1536	95223	59661
1537	95284	59599
1538	95345	59536
1539	95420	59483
1540	95464	59410
1541	95528	59349
1542	95594	59289
1543	95661	59230
1544	95702	59156
1545	95764	59093
1546	95824	59030
1547	95887	58969
1548	95945	58905
1549	96006	58842
1550	96065	58779
1551	96134	58721
1552	96204	58664
1553	96267	58602
1554	96326	58539
1555	96382	58473
1556	96450	58415
1557	96503	58348
1558	96581	58295
1559	96657	58242
1560	96718	58179
1561	96769	58111
1562	96827	58046
1563	96898	57990
1564	96968	57933
1565	97014	57861
1566	97075	57799
1567	97119	57726
1568	97176	57661
1569	97222	57590
1570	97278	57524
1571	97349	57468
1572	97402	57401
1573	97454	57333
1574	97516	57271
1575	97583	57212
1576	97649	57153
1577	97710	57090
1578	97791	57039
1579	97832	56965
1580	97891	56901
1581	97941	56833
1582	98017	56779
1583	98082	56719
1584	98139	56654
1585	98202	56593
1586	98257	56527
1587	98335	56474
1588	98396	56412
1589	98451	56346
1590	98520	56288
1591	98587	56229
1592	98658	56172
1593	98715	56108
1594	98788	56052
1595	98849	55989
1596	98909	55926
1597	98966	55862
1598	99036	55805
1599	99099	55743
1600	99177	55690
1601	99226	55621
1602	99296	55563
1603	99358	55502
1604	99414	55436
1605	99475	55374
1606	99539	55313
1607	99608	55255
1608	99661	55188
1609	99722	55125
1610	99781	55062
1611	99845	55001
1612	99911	54942
1613	99971	54879
1614	100031	54815
1615	100096	54755
1616	100165	54697
1617	100227	54635
1618	100303	54581
1619	100368	54521
1620	100410	54448
1621	100482	54392
1622	100552	54334
1623	100618	54274
1624	100680	54212
1625	100745	54152
1626	100809	54091
1627	100867	54027
1628	100933	53967
1629	100996	53905
1630	101050	53840
1631	101120	53781
1632	101162	53709
1633	101217	53644
1634	101271	53577
1635	101341	53520
1636	101413	53463
1637	101488	53408
1638	101556	53349
1639	101614	53285
1640	101669	53219
1641	101716	53150
1642	101783	53091
1643	101853	53033
1644	101908	52967
1645	101954	52897
1646	102014	52834
1647	102071	52770
1648	102127	52704
1649	102185	52641
1650	102262	52586
1651	102319	52522
1652	102382	52461
1653	102440	52396
1654	102512	52340
1655	102569	52275
1656	102649	52222
1657	102707	52159
1658	102778	52101
